iter	Logloss
0	0.6834906065
1	0.675768192
2	0.6681650602
3	0.6599655151
4	0.6508369446
5	0.6434296828
6	0.6354753054
7	0.6268492479
8	0.6191921234
9	0.6114394848
10	0.6033529868
11	0.5958440854
12	0.5890641946
13	0.5808678407
14	0.5742498911
15	0.5668086639
16	0.5598819439
17	0.5538716316
18	0.5477164342
19	0.5417715953
20	0.5350746008
21	0.5286075885
22	0.5228726314
23	0.5167141694
24	0.5109996062
25	0.5052222105
26	0.500709387
27	0.4942702513
28	0.4895659227
29	0.4835541799
30	0.4792624253
31	0.4744517253
32	0.4681175672
33	0.4622471149
34	0.4574514169
35	0.452740816
36	0.4476657281
37	0.4427315639
38	0.4377547778
39	0.4331524189
40	0.4289240104
41	0.425135099
42	0.4210319152
43	0.4165648314
44	0.4119437658
45	0.4074197182
46	0.4031330622
47	0.3986896735
48	0.3943365537
49	0.3901017629
50	0.3861711575
51	0.3821658355
52	0.3787628321
53	0.3750119209
54	0.3723659149
55	0.3687482247
56	0.3650172307
57	0.3616712277
58	0.3600978118
59	0.3562056101
60	0.3527283669
61	0.3491271092
62	0.3461396878
63	0.3431982627
64	0.3400648924
65	0.3365209286
66	0.3334299601
67	0.3303991464
68	0.3270154733
69	0.3242410513
70	0.3208775887
71	0.3173506077
72	0.3146750377
73	0.3114629525
74	0.3086846425
75	0.3061969647
76	0.3036746245
77	0.3002436344
78	0.2977934434
79	0.2951751489
80	0.2931156709
81	0.2909778815
82	0.2889638864
83	0.2863965768
84	0.2840038263
85	0.2814707022
86	0.2789512781
87	0.2764556408
88	0.2745833947
89	0.2722659845
90	0.2702189409
91	0.2679210626
92	0.266337138
93	0.2642206412
94	0.2621697279
95	0.2602129349
96	0.2586215093
97	0.2567473191
98	0.2552315455
99	0.2533107171
100	0.2517455174
101	0.2501505888
102	0.2482772424
103	0.2465762542
104	0.244748574
105	0.2430100991
106	0.2412882952
107	0.2397269836
108	0.237997752
109	0.2361283853
110	0.2346777182
111	0.2332485823
112	0.2311285459
113	0.2294792395
114	0.2278732703
115	0.2259421165
116	0.2247475111
117	0.222809223
118	0.2214691822
119	0.2200594315
120	0.2185330208
121	0.2168942598
122	0.2152562141
123	0.2140468084
124	0.2130674949
125	0.2119627366
126	0.2105584511
127	0.2093072671
128	0.2079296295
129	0.2062289348
130	0.2049702498
131	0.2034591161
132	0.2022453455
133	0.2009009398
134	0.1998047095
135	0.1986585764
136	0.1975118197
137	0.1963032943
138	0.1949965954
139	0.1945357873
140	0.1930529888
141	0.1920399482
142	0.1909190691
143	0.1898716413
144	0.1888171343
145	0.1879043212
146	0.1868006449
147	0.1857754634
148	0.184669513
149	0.1836404617
150	0.1823893327
151	0.1813890384
152	0.1804829377
153	0.179630628
154	0.1784376364
155	0.1776183018
156	0.1764956804
157	0.1755266923
158	0.1749927814
159	0.1740596111
160	0.1727844935
161	0.1718902038
162	0.1709766938
163	0.1700404607
164	0.1692098471
165	0.1682932927
166	0.1671571365
167	0.1661924766
168	0.1651878724
169	0.1644226955
170	0.1635387861
171	0.1630828747
172	0.1622266403
173	0.1614902936
174	0.160768619
175	0.1598776671
176	0.1590718673
177	0.1584014893
178	0.1577004469
179	0.1569125102
180	0.1562181069
181	0.1556599507
182	0.1549113347
183	0.1541251769
184	0.1532764893
185	0.1525630492
186	0.1517097583
187	0.1510032507
188	0.1502719109
189	0.1495758754
190	0.1488109369
191	0.148179146
192	0.1475466673
193	0.1470094094
194	0.1463359686
195	0.1456231796
196	0.1447877701
197	0.1439761565
198	0.1436708524
199	0.1429765408
200	0.1422197085
201	0.1416315482
202	0.1410506872
203	0.1403735418
204	0.1397190461
205	0.138989421
206	0.1384000778
207	0.1377829038
208	0.1370338843
209	0.1364502723
210	0.1358478528
211	0.1354315464
212	0.1349752866
213	0.1344471895
214	0.1336323115
215	0.1331637639
216	0.1326793524
217	0.1321248825
218	0.1315842042
219	0.1310119079
220	0.130420859
221	0.1298768704
222	0.1291488501
223	0.1286258881
224	0.128186611
225	0.1277596492
226	0.1270584235
227	0.126513096
228	0.1259619089
229	0.1254749848
230	0.1247805632
231	0.1242777109
232	0.1237858075
233	0.1232931981
234	0.1228160308
235	0.1223276028
236	0.1217011763
237	0.1212235231
238	0.1207439349
239	0.1203558353
240	0.1198868201
241	0.1194269657
242	0.1190050565
243	0.1185977367
244	0.1182399346
245	0.1176547546
246	0.1170170857
247	0.116477086
248	0.1161442628
249	0.1156738538
250	0.1152721552
251	0.1148699155
252	0.1141965022
253	0.1137395822
254	0.1134021099
255	0.1129834285
256	0.1123760388
257	0.111818442
258	0.111448022
259	0.1109712857
260	0.1105760611
261	0.110185183
262	0.1096797356
263	0.1092260251
264	0.1088042168
265	0.108433751
266	0.1080301358
267	0.1075803683
268	0.1069955092
269	0.1066122238
270	0.1062453343
271	0.1059116033
272	0.1053812504
273	0.1048313288
274	0.1044632655
275	0.1040146626
276	0.1035743035
277	0.1029768632
278	0.1025530008
279	0.1020854436
280	0.1017371875
281	0.1013154067
282	0.1008013945
283	0.1004252525
284	0.1000169699
285	0.09978408997
286	0.09963848041
287	0.09926231091
288	0.09890526992
289	0.09855346496
290	0.09821178363
291	0.09790160106
292	0.09756197379
293	0.09712807949
294	0.09676460119
295	0.09648950283
296	0.09609460831
297	0.09567477153
298	0.0953617371
299	0.09504022965
300	0.09461737596
301	0.09420868067
302	0.09393493946
303	0.09348344803
304	0.09306749014
305	0.09279590387
306	0.0923742331
307	0.0920691857
308	0.09179087786
309	0.09144883889
